CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,22268.0,22219.0,0.22053197713668482,3.5506330000000004,3.792117,-6.368052462516315,17.9666083066834,1100,sun-pharmaceutical-industries,Large Cap,Aug-2025
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,11606.0,11593.0,0.11213663417579574,1.844658,1.8022479999999999,2.353172260421437,9.33418005910213,1100,cipla,Large Cap,Aug-2025
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,15349.0,15314.0,0.2285490400940316,1.7717349999999998,1.908124,-7.14780590779216,8.96518135449136,1100,max-healthcare-institute,Large Cap,Aug-2025
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2622.0,2616.0,0.22935779816513763,1.607679,1.725383,-6.821905629069022,8.13503926648585,1100,divis-laboratories,Large Cap,Aug-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,2086.0,2081.0,0.2402691013935608,1.587446,1.560334,1.7375766983222765,8.03265797676396,1100,apollo-hospitals-enterprise,Large Cap,Aug-2025
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,12566.0,12551.0,0.11951238945103976,1.583442,1.5943539999999998,-0.6844151298895895,8.01239727968263,1100,dr-reddy's-laboratories,Large Cap,Aug-2025
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,10739.0,10726.0,0.12120082043632295,0.97886,0.919701,6.432416622358781,4.95314334291382,1100,fortis-healthcare,Mid Cap,Aug-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,4987.0,4982.0,0.10036130068245684,0.944987,0.961078,-1.6742657723930816,4.78174209610169,1100,lupin,Large Cap,Aug-2025
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,2156.0,2154.0,0.09285051067780872,0.7674930000000001,0.806005,-4.778134130681561,3.8836021940655,1100,torrent-pharmaceuticals,Large Cap,Aug-2025
139924,82380,1,Laurus Labs Ltd.,Healthcare,Healthcare,Domestic Equities,8076.0,8066.0,0.12397718819737169,0.692032,0.705251,-1.874368132764079,3.50176091972635,1100,laurus-labs,Mid Cap,Aug-2025
133463,8505,1,Glenmark Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,3106.0,3103.0,0.09668063164679343,0.5975630000000001,0.6622110000000001,-9.762447316640774,3.02373699550662,1100,glenmark-pharmaceuticals,Mid Cap,Aug-2025
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,5769.0,5763.0,0.10411244143675169,0.592996,0.656867,-9.723581790529899,3.00062745415537,1100,aurobindo-pharma,Mid Cap,Aug-2025
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,1110.0,1108.0,0.18050541516245489,0.588689,0.557446,5.604668434251924,2.97883354248472,1100,alkem-laboratories,Mid Cap,Aug-2025
1152,105806,1,Mankind Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,2325.0,2323.0,0.08609556607834697,0.5746009999999999,0.596361,-3.6487966181557847,2.90754665425252,1100,mankind-pharma,Large Cap,Aug-2025
171968,4931,1,Zydus Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,5150.0,5145.0,0.09718172983479105,0.5052409999999999,0.498962,1.25841246427583,2.5565771363802,1100,zydus-lifesciences,Large Cap,Aug-2025
133643,6434,1,Biocon Ltd.,Healthcare,Healthcare,Domestic Equities,12401.0,12386.0,0.12110447279186179,0.431989,0.484788,-10.891152421264549,2.18591365421204,1100,biocon,Mid Cap,Aug-2025
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2866.0,2863.0,0.1047851903597625,0.39676900000000004,0.421978,-5.97400812364625,2.00769643363154,1100,ipca-laboratories,Mid Cap,Aug-2025
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,107.0,107.0,0.0,0.33683599999999997,0.368134,-8.501795541840751,1.70442861190948,1100,abbott-india,Mid Cap,Aug-2025
19805,15724,1,Syngene International Ltd.,Business Services,Healthcare,Domestic Equities,3908.0,3905.0,0.07682458386683738,0.244602,0.278817,-12.271489901978711,1.23771404282881,1100,syngene-international,Small Cap,Aug-2025
133613,5313,1,Granules India Ltd.,Healthcare,Healthcare,Domestic Equities,2990.0,2987.0,0.1004352192835621,0.14718299999999998,0.141853,3.7574108407999796,0.744762781848358,1100,granules-india,Small Cap,Aug-2025
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,22219.0,22204.0,0.0675553954242478,3.792117,3.720724,1.9187932241144443,18.5065273514326,1100,sun-pharmaceutical-industries,Large Cap,Jul-2025
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,15314.0,15303.0,0.0718813304580801,1.908124,1.952663,-2.280936341806038,9.3121464859668,1100,max-healthcare-institute,Large Cap,Jul-2025
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,11593.0,11585.0,0.0690548122572291,1.802248,1.7445849999999998,3.3052559777826827,8.79544378669348,1100,cipla,Large Cap,Jul-2025
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2616.0,2615.0,0.0382409177820267,1.725383,1.780684,-3.1056043632671515,8.42032239015748,1100,divis-laboratories,Large Cap,Jul-2025
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,12551.0,12542.0,0.071758890129166,1.5943539999999998,1.609515,-0.9419607770042672,7.78086644184923,1100,dr-reddy's-laboratories,Large Cap,Jul-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,2081.0,2080.0,0.048076923076923,1.560334,1.506336,3.5847247891572653,7.61483990298038,1100,apollo-hospitals-enterprise,Large Cap,Jul-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,4982.0,4979.0,0.0602530628640289,0.961078,0.96493,-0.3991999419646995,4.69031316646088,1100,lupin,Large Cap,Jul-2025
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,10726.0,10719.0,0.0653045993096371,0.919701,0.851625,7.993659180977552,4.48838253451566,1100,fortis-healthcare,Mid Cap,Jul-2025
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,2154.0,2153.0,0.04644681839294,0.806005,0.733785,9.842119967020304,3.93351618051116,1100,torrent-pharmaceuticals,Large Cap,Jul-2025
139924,82380,1,Laurus Labs Ltd.,Healthcare,Healthcare,Domestic Equities,8066.0,8060.0,0.0744416873449131,0.705251,0.584229,20.71482244120028,3.44181018706047,1100,laurus-labs,Mid Cap,Jul-2025
133463,8505,1,Glenmark Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,3103.0,3101.0,0.0644953240890035,0.6622110000000001,0.543853,21.7628660685884,3.23176367815643,1100,glenmark-pharmaceuticals,Mid Cap,Jul-2025
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,5763.0,5759.0,0.0694565028650807,0.656867,0.653531,0.5104578053680761,3.20568355400255,1100,aurobindo-pharma,Mid Cap,Jul-2025
1152,105806,1,Mankind Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,2323.0,2322.0,0.0430663221360895,0.596361,0.538658,10.712362946433542,2.91039837584856,1100,mankind-pharma,Large Cap,Jul-2025
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,1108.0,1107.0,0.0903342366757,0.557446,0.546747,1.9568465853493424,2.72048295080207,1100,alkem-laboratories,Mid Cap,Jul-2025
171968,4931,1,Zydus Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,5145.0,5142.0,0.058343057176196,0.498962,0.5090319999999999,-1.9782646277640656,2.43506566393535,1100,zydus-lifesciences,Large Cap,Jul-2025
133643,6434,1,Biocon Ltd.,Healthcare,Healthcare,Domestic Equities,12386.0,11973.0,3.449427879395306,0.484788,0.42588,13.832065370526903,2.36589281966941,1100,biocon,Mid Cap,Jul-2025
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2863.0,2861.0,0.0699056274030059,0.421978,0.397622,6.125415595716537,2.05936351613171,1100,ipca-laboratories,Mid Cap,Jul-2025
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,107.0,107.0,0.0,0.368134,0.381669,-3.546266529374922,1.79659064844051,1100,abbott-india,Mid Cap,Jul-2025
19805,15724,1,Syngene International Ltd.,Business Services,Healthcare,Domestic Equities,3905.0,3903.0,0.0512426338713809,0.278817,0.249363,11.811696201922496,1.36070022009985,1100,syngene-international,Small Cap,Jul-2025
133613,5313,1,Granules India Ltd.,Healthcare,Healthcare,Domestic Equities,2987.0,2985.0,0.067001675041876,0.141853,0.147847,-4.05419115707455,0.692279912350481,1100,granules-india,Small Cap,Jul-2025
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,22204.0,22343.0,-0.6221187844067494,3.720724,3.748262,-0.7346871696802293,18.72043551763,1100,sun-pharmaceutical-industries,Large Cap,Jun-2025
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,15303.0,15400.0,-0.6298701298701298,1.952663,1.732808,12.687787683344029,9.82462063274835,1100,max-healthcare-institute,Large Cap,Jun-2025
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2615.0,2631.0,-0.6081337894336754,1.780684,1.739617,2.3606920373852347,8.95932619545967,1100,divi's-laboratories,Large Cap,Jun-2025
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,11585.0,11658.0,-0.626179447589638,1.7445849999999998,1.708713,2.0993578207691965,8.7776978344872,1100,cipla,Large Cap,Jun-2025
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,12542.0,12642.0,-0.7910140800506249,1.609515,1.581767,1.75424066882164,8.09810718885848,1100,dr-reddy's-laboratories,Large Cap,Jun-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,2080.0,2094.0,-0.6685768863419294,1.506336,1.440777,4.550253092602122,7.57897279021092,1100,apollo-hospitals-enterprise,Large Cap,Jun-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,4979.0,5006.0,-0.5393527766679984,0.96493,0.980025,-1.5402668299278106,4.85494485590082,1100,lupin,Large Cap,Jun-2025
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,10719.0,10645.0,0.6951620479098167,0.851625,0.751856,13.269695260794624,4.28486254226373,1100,fortis-healthcare,Mid Cap,Jun-2025
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,2153.0,2167.0,-0.6460544531610521,0.733785,0.6879569999999999,6.661462853056232,3.6919628481726,1100,torrent-pharmaceuticals,Large Cap,Jun-2025
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,5759.0,5796.0,-0.6383712905452036,0.653531,0.665265,-1.763808407176089,3.28817320077282,1100,aurobindo-pharma,Mid Cap,Jun-2025
139924,82380,1,Laurus Labs Ltd.,Healthcare,Healthcare,Domestic Equities,8060.0,8109.0,-0.6042668639782957,0.584229,0.4943249999999999,18.187225003793053,2.93948740138464,1100,laurus-labs,Mid Cap,Jun-2025
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,1107.0,1101.0,0.544959128065395,0.546747,0.561345,-2.6005397750046786,2.75090061986798,1100,alkem-laboratories,Mid Cap,Jun-2025
133463,8505,1,Glenmark Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,3101.0,3119.0,-0.5771080474511061,0.543853,0.454469,19.66778812196212,2.73633976010304,1100,glenmark-pharmaceuticals,Mid Cap,Jun-2025
1152,105806,1,Mankind Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,2322.0,2291.0,1.3531209079004802,0.538658,0.56535,-4.721323074201815,2.71020165834809,1100,mankind-pharma,Large Cap,Jun-2025
171968,4931,1,Zydus Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,5142.0,5176.0,-0.6568778979907265,0.5090319999999999,0.481368,5.746954512971359,2.56114152310417,1100,zydus-lifesciences,Large Cap,Jun-2025
133643,6434,1,Biocon Ltd.,Healthcare,Healthcare,Domestic Equities,11973.0,9330.0,28.32797427652733,0.42588,0.313348,35.91278706103118,2.14277089035582,1100,biocon,Mid Cap,Jun-2025
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2861.0,2879.0,-0.6252170892671066,0.397622,0.4102,-3.066309117503664,2.00059370471744,1100,ipca-laboratories,Mid Cap,Jun-2025
152367,6359,1,Abbott India Ltd.,Healthcare,Healthcare,Domestic Equities,107.0,108.0,-0.9259259259259258,0.381669,0.328914,16.039147011072806,1.92032784575753,1100,abbott-india,Mid Cap,Jun-2025
19805,15724,1,Syngene International Ltd.,Business Services,Healthcare,Domestic Equities,3903.0,3918.0,-0.3828483920367534,0.249363,0.253318,-1.5612787089744982,1.25464397842537,1100,syngene-international,Small Cap,Jun-2025
133613,5313,1,Granules India Ltd.,Healthcare,Healthcare,Domestic Equities,2985.0,3017.0,-1.0606562810739144,0.147847,0.160067,-7.634303135561971,0.743876791176944,1100,granules-india,Small Cap,Jun-2025
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,23805.0,23838.0,-0.138434432418827,4.490456,4.245309,5.774538437602541,21.8840603724299,1100,sun-pharmaceutical-industries,Large Cap,Dec-2024
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,13443.0,13472.0,-0.2152612826603325,1.866561,1.6197389999999998,15.238380998420132,9.09661148284786,1100,dr-reddy's-laboratories,Large Cap,Dec-2024
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,12119.0,12107.0,0.0991162137606343,1.852995,1.857093,-0.2206674625341963,9.03049811640748,1100,cipla,Large Cap,Dec-2024
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,16366.0,16402.0,-0.2194854286062675,1.84633,1.606986,14.89396920695016,8.99801650153758,1100,max-healthcare-institute,Mid Cap,Dec-2024
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2800.0,2803.0,-0.1070281840884766,1.707664,1.7302080000000002,-1.3029647302520877,8.32223321458334,1100,divi's-laboratories,Large Cap,Dec-2024
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,2232.0,2235.0,-0.1342281879194631,1.628545,1.526259,6.701745902890663,7.93664988571735,1100,apollo-hospitals-enterprise,Mid Cap,Dec-2024
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,5316.0,5325.0,-0.1690140845070422,1.25229,1.092024,14.676051075800531,6.10298596930695,1100,lupin,Mid Cap,Dec-2024
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,6161.0,6177.0,-0.2590254168690303,0.822185,0.7799079999999999,5.420767577714312,4.00688619982163,1100,aurobindo-pharma,Mid Cap,Dec-2024
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,2064.0,2039.0,1.2260912211868562,0.693514,0.677804,2.317779181002175,3.37981315152076,1100,torrent-pharmaceuticals,Large Cap,Dec-2024
